Source	Target	Weight
0	25	1.0
25	1366	1.0
25	1379	1.0
25	1378	1.0
25	1377	1.0
25	1376	1.0
25	1375	1.0
25	1374	1.0
25	1373	1.0
25	1372	1.0
25	1371	1.0
25	1370	1.0
25	1369	1.0
25	1368	1.0
25	1367	1.0
25	1365	1.0
25	1381	1.0
25	1364	1.0
25	1363	1.0
25	1362	1.0
25	1361	1.0
25	1360	1.0
25	1359	1.0
25	1358	1.0
25	1357	1.0
25	1356	1.0
25	1355	1.0
25	1354	1.0
25	1353	1.0
25	1352	1.0
25	1380	1.0
25	1382	1.0
25	1413	1.0
25	1398	1.0
25	1411	1.0
25	1410	1.0
25	1409	1.0
25	1408	1.0
25	1407	1.0
25	1406	1.0
25	1405	1.0
25	1404	1.0
25	1403	1.0
25	1402	1.0
25	1401	1.0
25	1400	1.0
25	1399	1.0
25	1397	1.0
25	1383	1.0
25	1396	1.0
25	1395	1.0
25	1394	1.0
25	1393	1.0
25	1392	1.0
25	1391	1.0
25	1390	1.0
25	1389	1.0
25	1388	1.0
25	1387	1.0
25	1386	1.0
25	1385	1.0
25	1384	1.0
25	1351	1.0
25	1350	1.0
25	1349	1.0
25	1303	1.0
25	1316	1.0
25	1315	1.0
25	1314	1.0
25	1313	1.0
25	1312	1.0
25	1311	1.0
25	1310	1.0
25	1309	1.0
25	1308	1.0
25	1307	1.0
25	1306	1.0
25	1305	1.0
25	1304	1.0
25	1302	1.0
25	1348	1.0
25	1301	1.0
25	1300	1.0
25	1299	1.0
25	1298	1.0
25	1297	1.0
25	1296	1.0
25	1295	1.0
25	1294	1.0
25	1293	1.0
25	1292	1.0
25	1291	1.0
25	1290	1.0
25	1289	1.0
25	1317	1.0
25	1318	1.0
25	1319	1.0
25	1320	1.0
25	1347	1.0
25	1346	1.0
25	1345	1.0
25	1344	1.0
25	1343	1.0
25	1342	1.0
25	1341	1.0
25	1340	1.0
25	1339	1.0
25	1338	1.0
25	1337	1.0
25	1336	1.0
25	1335	1.0
25	1334	1.0
25	1333	1.0
25	1332	1.0
25	1331	1.0
25	1330	1.0
25	1329	1.0
25	1328	1.0
25	1327	1.0
25	1326	1.0
25	1325	1.0
25	1324	1.0
25	1323	1.0
25	1322	1.0
25	1321	1.0
25	1412	1.0
25	1414	1.0
25	2042	1.0
25	1493	1.0
25	1506	1.0
25	1505	1.0
25	1504	1.0
25	1503	1.0
25	1502	1.0
25	1501	1.0
25	1500	1.0
25	1499	1.0
25	1498	1.0
25	1497	1.0
25	1496	1.0
25	1495	1.0
25	1494	1.0
25	1492	1.0
25	1508	1.0
25	1491	1.0
25	1490	1.0
25	1489	1.0
25	1488	1.0
25	1487	1.0
25	1486	1.0
25	1485	1.0
25	1484	1.0
25	1483	1.0
25	1482	1.0
25	1481	1.0
25	1480	1.0
25	1479	1.0
25	1507	1.0
20	25	1.0
25	1415	1.0
25	1524	1.0
25	1537	1.0
25	1536	1.0
25	1535	1.0
25	1534	1.0
25	1533	1.0
25	1532	1.0
25	1531	1.0
25	1530	1.0
25	1529	1.0
25	1528	1.0
25	1527	1.0
25	1526	1.0
25	1525	1.0
25	1523	1.0
25	1509	1.0
25	1522	1.0
25	1521	1.0
25	1520	1.0
25	1519	1.0
25	1518	1.0
25	1517	1.0
25	1516	1.0
25	1515	1.0
25	1514	1.0
25	1513	1.0
25	1512	1.0
25	1511	1.0
25	1510	1.0
25	1478	1.0
25	1477	1.0
25	1476	1.0
25	1430	1.0
25	1443	1.0
25	1442	1.0
25	1441	1.0
25	1440	1.0
25	1439	1.0
25	1438	1.0
25	1437	1.0
25	1436	1.0
25	1435	1.0
25	1434	1.0
25	1433	1.0
25	1432	1.0
25	1431	1.0
25	1429	1.0
25	1475	1.0
25	1428	1.0
25	1427	1.0
25	1426	1.0
25	1425	1.0
25	1424	1.0
25	1423	1.0
25	1422	1.0
25	1421	1.0
25	1420	1.0
25	1419	1.0
25	1418	1.0
25	1417	1.0
