Source	Target	Weight
740	2410	1.0
1770	2410	1.0
1771	2410	1.0
1273	2410	1.0
110	2410	1.0
882	2410	1.0
435	2410	1.0
668	2410	1.0
881	2410	1.0
434	2410	1.0
2287	2410	1.0
433	2410	1.0
717	2410	1.0
1547	2410	1.0
311	2410	1.0
1074	2410	1.0
2288	2410	1.0
140	2410	1.0
1134	2410	1.0
880	2410	1.0
1591	2410	1.0
1772	2410	1.0
716	2410	1.0
718	2410	1.0
385	2410	1.0
1324	2410	1.0
719	2410	1.0
1136	2410	1.0
1326	2410	1.0
883	2410	1.0
1546	2410	1.0
1768	2410	1.0
666	2410	1.0
2285	2410	1.0
436	2410	1.0
1271	2410	1.0
257	2410	1.0
721	2410	1.0
169	2410	1.0
2286	2410	1.0
667	2410	1.0
1272	2410	1.0
1592	2410	1.0
1325	2410	1.0
720	2410	1.0
1769	2410	1.0
847	2410	1.0
1135	2410	1.0
432	2410	1.0
1824	2410	1.0
384	2410	1.0
325	2410	1.0
1320	2410	1.0
848	2410	1.0
1822	2410	1.0
1076	2410	1.0
13	2410	1.0
1319	2410	1.0
1274	2410	1.0
1549	2410	1.0
1775	2410	1.0
2293	2410	1.0
877	2410	1.0
1550	2410	1.0
1131	2410	1.0
1588	2410	1.0
1821	2410	1.0
386	2410	1.0
312	2410	1.0
876	2410	1.0
222	2410	1.0
104	2410	1.0
1318	2410	1.0
1823	2410	1.0
1589	2410	1.0
879	2410	1.0
2292	2410	1.0
1773	2410	1.0
1075	2410	1.0
1133	2410	1.0
878	2410	1.0
1323	2410	1.0
2289	2410	1.0
25	2410	1.0
1590	2410	1.0
76	2410	1.0
147	2410	1.0
2290	2410	1.0
669	2410	1.0
431	2410	1.0
2291	2410	1.0
180	2410	1.0
1774	2410	1.0
1322	2410	1.0
258	2410	1.0
1132	2410	1.0
1548	2410	1.0
1321	2410	1.0
1593	2410	1.0
221	2410	1.0
70	2410	1.0
885	2410	1.0
220	2410	1.0
2281	2410	1.0
1541	2410	1.0
2282	2410	1.0
729	2410	1.0
1763	2410	1.0
1831	2410	1.0
664	2410	1.0
1598	2410	1.0
1830	2410	1.0
2283	2410	1.0
884	2410	1.0
78	2410	1.0
1139	2410	1.0
1542	2410	1.0
1764	2410	1.0
843	2410	1.0
728	2410	1.0
377	2410	1.0
1765	2410	1.0
232	2410	1.0
1832	2410	1.0
1329	2410	1.0
1829	2410	1.0
1833	2410	1.0
1759	2410	1.0
732	2410	1.0
731	2410	1.0
1602	2410	1.0
1760	2410	1.0
149	2410	1.0
68	2410	1.0
1601	2410	1.0
886	2410	1.0
1761	2410	1.0
1600	2410	1.0
842	2410	1.0
103	2410	1.0
1835	2410	1.0
663	2410	1.0
730	2410	1.0
1762	2410	1.0
1599	2410	1.0
1540	2410	1.0
1068	2410	1.0
1834	2410	1.0
1069	2410	1.0
265	2410	1.0
722	2410	1.0
1071	2410	1.0
148	2410	1.0
381	2410	1.0
1826	2410	1.0
724	2410	1.0
1327	2410	1.0
845	2410	1.0
1072	2410	1.0
139	2410	1.0
1767	2410	1.0
1138	2410	1.0
1825	2410	1.0
77	2410	1.0
1595	2410	1.0
1073	2410	1.0
382	2410	1.0
723	2410	1.0
846	2410	1.0
437	2410	1.0
383	2410	1.0
1594	2410	1.0
1137	2410	1.0
725	2410	1.0
380	2410	1.0
2284	2410	1.0
726	2410	1.0
844	2410	1.0
1543	2410	1.0
168	2410	1.0
1597	2410	1.0
1828	2410	1.0
438	2410	1.0
1544	2410	1.0
1070	2410	1.0
69	2410	1.0
727	2410	1.0
378	2410	1.0
1328	2410	1.0
1545	2410	1.0
1766	2410	1.0
1596	2410	1.0
665	2410	1.0
379	2410	1.0
1270	2410	1.0
111	2410	1.0
26	2410	1.0
1827	2410	1.0
1551	2410	1.0
1587	2410	1.0
1281	2410	1.0
672	2410	1.0
2315	2410	1.0
871	2410	1.0
1309	2410	1.0
1126	2410	1.0
2316	2410	1.0
2317	2410	1.0
673	2410	1.0
851	2410	1.0
1125	2410	1.0
1279	2410	1.0
2318	2410	1.0
141	2410	1.0
870	2410	1.0
426	2410	1.0
869	2410	1.0
1308	2410	1.0
1807	2410	1.0
1782	2410	1.0
674	2410	1.0
71	2410	1.0
675	2410	1.0
401	2410	1.0
400	2410	1.0
1579	2410	1.0
1091	2410	1.0
2312	2410	1.0
1277	2410	1.0
1087	2410	1.0
1310	2410	1.0
872	2410	1.0
427	2410	1.0
1088	2410	1.0
1810	2410	1.0
1809	2410	1.0
1278	2410	1.0
1580	2410	1.0
398	2410	1.0
1089	2410	1.0
1090	2410	1.0
2313	2410	1.0
314	2410	1.0
2314	2410	1.0
1556	2410	1.0
1808	2410	1.0
1127	2410	1.0
399	2410	1.0
402	2410	1.0
676	2410	1.0
2311	2410	1.0
22	2410	1.0
867	2410	1.0
230	2410	1.0
680	2410	1.0
1123	2410	1.0
1306	2410	1.0
423	2410	1.0
1122	2410	1.0
2329	2410	1.0
681	2410	1.0
1558	2410	1.0
1805	2410	1.0
1578	2410	1.0
852	2410	1.0
177	2410	1.0
1121	2410	1.0
1093	2410	1.0
2330	2410	1.0
145	2410	1.0
2331	2410	1.0
713	2410	1.0
2332	2410	1.0
1806	2410	1.0
2328	2410	1.0
