Source	Target	Weight
2217	2870	1.0
360	2217	1.0
2217	2802	1.0
2217	2803	1.0
2217	2804	1.0
1553	2217	1.0
1053	2217	1.0
563	2217	1.0
2217	2805	1.0
2217	2219	1.0
1378	2217	1.0
2217	2806	1.0
592	2217	1.0
2217	2807	1.0
1791	2217	1.0
2217	2220	1.0
1636	2217	1.0
231	2217	1.0
2157	2217	1.0
1535	2217	1.0
1936	2217	1.0
2217	2801	1.0
1670	2217	1.0
1835	2217	1.0
627	2217	1.0
1586	2217	1.0
2217	2800	1.0
2217	2799	1.0
1121	2217	1.0
1162	2217	1.0
2217	2798	1.0
899	2217	1.0
2033	2217	1.0
23	2217	1.0
2102	2217	1.0
2217	2777	1.0
2216	2217	1.0
2217	2814	1.0
1280	2217	1.0
1179	2217	1.0
341	2217	1.0
1526	2217	1.0
1521	2217	1.0
1717	2217	1.0
2217	2808	1.0
736	2217	1.0
2158	2217	1.0
683	2217	1.0
230	2217	1.0
2217	2815	1.0
2217	2816	1.0
1305	2217	1.0
2217	2813	1.0
1312	2217	1.0
628	2217	1.0
2217	2812	1.0
1019	2217	1.0
1998	2217	1.0
1144	2217	1.0
750	2217	1.0
2217	2811	1.0
1088	2217	1.0
2217	2810	1.0
2217	2218	1.0
1459	2217	1.0
1357	2217	1.0
2217	2809	1.0
132	2217	1.0
2217	2797	1.0
1319	2217	1.0
2217	2221	1.0
175	2217	1.0
2217	2225	1.0
593	2217	1.0
1242	2217	1.0
419	2217	1.0
2217	2224	1.0
852	2217	1.0
1071	2217	1.0
271	2217	1.0
2217	2785	1.0
1570	2217	1.0
2217	2223	1.0
1430	2217	1.0
1716	2217	1.0
2156	2217	1.0
2217	2226	1.0
2217	2784	1.0
2217	2783	1.0
2032	2217	1.0
270	2217	1.0
2217	2227	1.0
2217	2228	1.0
2217	2782	1.0
2217	2781	1.0
2217	2780	1.0
1949	2217	1.0
2217	2779	1.0
155	2217	1.0
2217	2778	1.0
1446	2217	1.0
981	2217	1.0
626	2217	1.0
1647	2217	1.0
2217	2786	1.0
2217	2787	1.0
430	2217	1.0
1618	2217	1.0
758	2217	1.0
1255	2217	1.0
2217	2796	1.0
2217	2795	1.0
2217	2794	1.0
2217	2793	1.0
711	2217	1.0
340	2217	1.0
1888	2217	1.0
1450	2217	1.0
2217	2792	1.0
921	2217	1.0
2217	2791	1.0
465	2217	1.0
1145	2217	1.0
801	2217	1.0
2217	2222	1.0
1692	2217	1.0
1974	2217	1.0
106	2217	1.0
476	2217	1.0
1413	2217	1.0
133	2217	1.0
1003	2217	1.0
1207	2217	1.0
1283	2217	1.0
2217	2790	1.0
2217	2789	1.0
2217	2788	1.0
1857	2217	1.0
198	2217	1.0
449	2217	1.0
591	2217	1.0
2099	2217	1.0
1801	2217	1.0
2217	2842	1.0
1489	2217	1.0
2217	2843	1.0
21	2217	1.0
855	2217	1.0
2217	2834	1.0
2217	2844	1.0
743	2217	1.0
1178	2217	1.0
316	2217	1.0
2217	2845	1.0
835	2217	1.0
83	2217	1.0
781	2217	1.0
1571	2217	1.0
2217	2841	1.0
2217	2840	1.0
2217	2839	1.0
564	2217	1.0
2217	2838	1.0
229	2217	1.0
2217	2837	1.0
363	2217	1.0
631	2217	1.0
1143	2217	1.0
1300	2217	1.0
2217	2836	1.0
2162	2217	1.0
1208	2217	1.0
1517	2217	1.0
273	2217	1.0
1234	2217	1.0
2217	2852	1.0
20	2217	1.0
1896	2217	1.0
199	2217	1.0
2217	2856	1.0
941	2217	1.0
907	2217	1.0
2217	2855	1.0
1013	2217	1.0
662	2217	1.0
880	2217	1.0
2217	2854	1.0
343	2217	1.0
1425	2217	1.0
2217	2853	1.0
75	2217	1.0
2217	2846	1.0
47	2217	1.0
2217	2851	1.0
2163	2217	1.0
1592	2217	1.0
1329	2217	1.0
967	2217	1.0
2217	2850	1.0
1996	2217	1.0
2217	2849	1.0
1199	2217	1.0
2217	2848	1.0
803	2217	1.0
1552	2217	1.0
2217	2847	1.0
2217	2835	1.0
1718	2217	1.0
1163	2217	1.0
888	2217	1.0
1414	2217	1.0
1291	2217	1.0
1824	2217	1.0
1337	2217	1.0
925	2217	1.0
107	2217	1.0
1779	2217	1.0
2217	2833	1.0
2217	2821	1.0
511	2217	1.0
2217	2822	1.0
2160	2217	1.0
2217	2823	1.0
630	2217	1.0
850	2217	1.0
1691	2217	1.0
782	2217	1.0
2159	2217	1.0
2217	2820	1.0
2215	2217	1.0
1402	2217	1.0
712	2217	1.0
1813	2217	1.0
46	2217	1.0
390	2217	1.0
629	2217	1.0
317	2217	1.0
2217	2819	1.0
2217	2818	1.0
2034	2217	1.0
2217	2817	1.0
67	2217	1.0
858	2217	1.0
499	2217	1.0
342	2217	1.0
2100	2217	1.0
1122	2217	1.0
667	2217	1.0
1792	2217	1.0
108	2217	1.0
1764	2217	1.0
2217	2832	1.0
1063	2217	1.0
131	2217	1.0
2217	2831	1.0
1921	2217	1.0
2217	2830	1.0
2217	2829	1.0
2161	2217	1.0
713	2217	1.0
272	2217	1.0
2217	2828	1.0
802	2217	1.0
2217	2827	1.0
2217	2826	1.0
22	2217	1.0
2217	2825	1.0
2214	2217	1.0
1597	2217	1.0
1256	2217	1.0
2101	2217	1.0
1452	2217	1.0
1997	2217	1.0
2217	2824	1.0
1370	2217	1.0
2217	2229	1.0
996	2217	1.0
1230	2217	1.0
2153	2217	1.0
467	2217	1.0
560	2217	1.0
1345	2217	1.0
799	2217	1.0
407	2217	1.0
2217	2734	1.0
1889	2217	1.0
2217	2737	1.0
2217	2261	1.0
2217	2735	1.0
2217	2736	1.0
950	2217	1.0
1160	2217	1.0
2217	2260	1.0
135	2217	1.0
2217	2262	1.0
1859	2217	1.0
1347	2217	1.0
890	2217	1.0
2217	2733	1.0
2217	2732	1.0
2217	2731	1.0
2217	2730	1.0
1940	2217	1.0
1762	2217	1.0
412	2217	1.0
783	2217	1.0
596	2217	1.0
971	2217	1.0
2217	2729	1.0
2001	2217	1.0
233	2217	1.0
623	2217	1.0
2103	2217	1.0
2217	2256	1.0
2217	2742	1.0
2217	2743	1.0
174	2217	1.0
2217	2744	1.0
2217	2257	1.0
1318	2217	1.0
2154	2217	1.0
338	2217	1.0
475	2217	1.0
2217	2745	1.0
402	2217	1.0
877	2217	1.0
1027	2217	1.0
447	2217	1.0
1555	2217	1.0
2217	2741	1.0
2030	2217	1.0
1297	2217	1.0
267	2217	1.0
2217	2258	1.0
320	2217	1.0
389	2217	1.0
2108	2217	1.0
1693	2217	1.0
1919	2217	1.0
2217	2259	1.0
2000	2217	1.0
2217	2740	1.0
2217	2739	1.0
2217	2738	1.0
