Source	Target	Weight
1587	2859	1.0
1170	2859	1.0
1851	2859	1.0
2145	2859	1.0
2470	2859	1.0
2469	2859	1.0
1169	2859	1.0
878	2859	1.0
1168	2859	1.0
1167	2859	1.0
1852	2859	1.0
1166	2859	1.0
2319	2859	1.0
1165	2859	1.0
1164	2859	1.0
1853	2859	1.0
2468	2859	1.0
1854	2859	1.0
1163	2859	1.0
1855	2859	1.0
1162	2859	1.0
514	2859	1.0
513	2859	1.0
1161	2859	1.0
807	2859	1.0
1847	2859	1.0
2147	2859	1.0
1848	2859	1.0
1174	2859	1.0
240	2859	1.0
329	2859	1.0
1849	2859	1.0
365	2859	1.0
2475	2859	1.0
1850	2859	1.0
2146	2859	1.0
2474	2859	1.0
2473	2859	1.0
1173	2859	1.0
1172	2859	1.0
2472	2859	1.0
512	2859	1.0
1171	2859	1.0
2471	2859	1.0
1856	2859	1.0
1857	2859	1.0
366	2859	1.0
330	2859	1.0
1862	2859	1.0
809	2859	1.0
1863	2859	1.0
957	2859	1.0
2141	2859	1.0
123	2859	1.0
363	2859	1.0
45	2859	1.0
958	2859	1.0
2322	2859	1.0
1158	2859	1.0
2140	2859	1.0
187	2859	1.0
959	2859	1.0
1864	2859	1.0
1865	2859	1.0
1157	2859	1.0
238	2859	1.0
1866	2859	1.0
1861	2859	1.0
1860	2859	1.0
2467	2859	1.0
808	2859	1.0
239	2859	1.0
364	2859	1.0
1160	2859	1.0
28	2859	1.0
1159	2859	1.0
2466	2859	1.0
954	2859	1.0
2144	2859	1.0
2465	2859	1.0
1858	2859	1.0
122	2859	1.0
2143	2859	1.0
2142	2859	1.0
955	2859	1.0
1859	2859	1.0
2320	2859	1.0
956	2859	1.0
2464	2859	1.0
2321	2859	1.0
2476	2859	1.0
1846	2859	1.0
273	2859	1.0
46	2859	1.0
328	2859	1.0
1192	2859	1.0
801	2859	1.0
119	2859	1.0
2486	2859	1.0
1191	2859	1.0
241	2859	1.0
1190	2859	1.0
188	2859	1.0
2316	2859	1.0
1189	2859	1.0
2485	2859	1.0
1188	2859	1.0
2317	2859	1.0
1834	2859	1.0
802	2859	1.0
2484	2859	1.0
120	2859	1.0
803	2859	1.0
508	2859	1.0
2487	2859	1.0
1187	2859	1.0
1193	2859	1.0
2315	2859	1.0
952	2859	1.0
632	2859	1.0
2489	2859	1.0
2151	2859	1.0
9	2859	1.0
302	2859	1.0
1198	2859	1.0
1197	2859	1.0
1196	2859	1.0
953	2859	1.0
1195	2859	1.0
1194	2859	1.0
800	2859	1.0
2488	2859	1.0
283	2859	1.0
2150	2859	1.0
507	2859	1.0
1833	2859	1.0
588	2859	1.0
1835	2859	1.0
2477	2859	1.0
1839	2859	1.0
804	2859	1.0
1179	2859	1.0
511	2859	1.0
212	2859	1.0
1178	2859	1.0
1840	2859	1.0
805	2859	1.0
1177	2859	1.0
1841	2859	1.0
1176	2859	1.0
2478	2859	1.0
806	2859	1.0
1842	2859	1.0
1843	2859	1.0
1175	2859	1.0
2148	2859	1.0
879	2859	1.0
1844	2859	1.0
1845	2859	1.0
121	2859	1.0
2149	2859	1.0
633	2859	1.0
1180	2859	1.0
2318	2859	1.0
2483	2859	1.0
1186	2859	1.0
303	2859	1.0
2482	2859	1.0
1185	2859	1.0
509	2859	1.0
1836	2859	1.0
2481	2859	1.0
1184	2859	1.0
2480	2859	1.0
1183	2859	1.0
1837	2859	1.0
10	2859	1.0
510	2859	1.0
1182	2859	1.0
2479	2859	1.0
1181	2859	1.0
1838	2859	1.0
810	2859	1.0
158	2859	1.0
780	2859	1.0
1143	2859	1.0
2451	2859	1.0
1142	2859	1.0
1899	2859	1.0
822	2859	1.0
1900	2859	1.0
1901	2859	1.0
1902	2859	1.0
331	2859	1.0
1903	2859	1.0
126	2859	1.0
2450	2859	1.0
2129	2859	1.0
2128	2859	1.0
1141	2859	1.0
823	2859	1.0
660	2859	1.0
2327	2859	1.0
1140	2859	1.0
1139	2859	1.0
2130	2859	1.0
1144	2859	1.0
1904	2859	1.0
1898	2859	1.0
2131	2859	1.0
818	2859	1.0
1894	2859	1.0
819	2859	1.0
1895	2859	1.0
1896	2859	1.0
125	2859	1.0
820	2859	1.0
360	2859	1.0
1897	2859	1.0
1146	2859	1.0
821	2859	1.0
2453	2859	1.0
961	2859	1.0
2326	2859	1.0
359	2859	1.0
1145	2859	1.0
636	2859	1.0
2452	2859	1.0
962	2859	1.0
1905	2859	1.0
817	2859	1.0
2447	2859	1.0
1133	2859	1.0
658	2859	1.0
2446	2859	1.0
2124	2859	1.0
825	2859	1.0
2445	2859	1.0
2444	2859	1.0
518	2859	1.0
1132	2859	1.0
237	2859	1.0
519	2859	1.0
128	2859	1.0
1131	2859	1.0
1909	2859	1.0
274	2859	1.0
826	2859	1.0
1130	2859	1.0
2443	2859	1.0
2442	2859	1.0
185	2859	1.0
1134	2859	1.0
824	2859	1.0
1135	2859	1.0
2127	2859	1.0
659	2859	1.0
1906	2859	1.0
358	2859	1.0
2449	2859	1.0
1138	2859	1.0
1137	2859	1.0
2126	2859	1.0
2328	2859	1.0
2125	2859	1.0
2448	2859	1.0
2329	2859	1.0
2330	2859	1.0
1907	2859	1.0
517	2859	1.0
1908	2859	1.0
1136	2859	1.0
127	2859	1.0
874	2859	1.0
43	2859	1.0
361	2859	1.0
1867	2859	1.0
186	2859	1.0
282	2859	1.0
2461	2859	1.0
1154	2859	1.0
2325	2859	1.0
663	2859	1.0
515	2859	1.0
304	2859	1.0
1874	2859	1.0
1153	2859	1.0
2136	2859	1.0
1875	2859	1.0
1876	2859	1.0
2135	2859	1.0
516	2859	1.0
362	2859	1.0
812	2859	1.0
213	2859	1.0
2460	2859	1.0
813	2859	1.0
44	2859	1.0
664	2859	1.0
1877	2859	1.0
2324	2859	1.0
1868	2859	1.0
1869	2859	1.0
1156	2859	1.0
1155	2859	1.0
2323	2859	1.0
1870	2859	1.0
960	2859	1.0
2139	2859	1.0
1871	2859	1.0
811	2859	1.0
634	2859	1.0
29	2859	1.0
2463	2859	1.0
2138	2859	1.0
877	2859	1.0
2137	2859	1.0
2462	2859	1.0
1872	2859	1.0
1873	2859	1.0
2134	2859	1.0
1878	2859	1.0
2454	2859	1.0
1887	2859	1.0
816	2859	1.0
2132	2859	1.0
2456	2859	1.0
1889	2859	1.0
225	2859	1.0
11	2859	1.0
1149	2859	1.0
124	2859	1.0
1890	2859	1.0
