	Source	Target	Weight
0	604	1361	0.9999999738107812
1	1170	1171	0.9975308725654178
2	1538	1540	0.989922733708716
3	1162	1509	0.9891796092460008
4	130	140	0.9875685480494172
5	472	688	0.9866427501699436
6	492	493	0.9758430561341552
7	1832	1833	0.9720050055581492
8	53	1096	0.953354380608218
9	1153	1155	0.9498872150895884
10	517	528	0.9472223010395628
11	75	150	0.946364634360334
12	2284	2312	0.9435980310345432
13	2307	2308	0.9415607183868544
14	2215	2216	0.9407083830293044
15	940	961	0.9400297265480392
16	1274	1275	0.9398746427877896
17	555	640	0.9397811052643764
18	278	1426	0.9390549555893504
19	527	665	0.9366736675056224
20	933	961	0.9338206340645118
21	933	936	0.9315428415373408
22	1278	1280	0.9308524831875734
23	665	933	0.929381086584587
24	1274	1277	0.9286642873587032
25	1936	1962	0.9263790052668744
26	665	2690	0.924763654529343
27	1112	2690	0.9245256345368148
28	933	954	0.9243788464516108
29	933	1558	0.9223476096575516
30	665	1007	0.9217407168226708
31	665	954	0.9208058955718889
32	665	1112	0.9207602433974722
33	2286	2300	0.9176820520657988
34	954	1112	0.917577009470265
35	2838	2908	0.916757466275546
36	936	954	0.9165352096502904
37	665	1558	0.9162318631245286
38	2312	2690	0.9158862091743968
39	665	936	0.915880691008495
40	961	1558	0.914863307810234
41	1493	2250	0.9126866521624862
42	482	1042	0.9125277078599406
43	933	940	0.9124896038177518
44	321	2080	0.9121873660028748
45	2314	2571	0.9120601423520036
46	812	1749	0.9106013366381543
47	665	1864	0.9103335082269004
48	1275	1277	0.910135660051116
49	933	1112	0.909915814208592
50	300	837	0.9091103714799512
51	284	2324	0.9088404960394312
52	578	2838	0.9085339576171104
53	227	2706	0.9082700627141964
54	375	961	0.9079529061444938
55	1808	1836	0.9076641521004504
56	1348	1357	0.906852311610266
57	1155	1159	0.9064556160034136
58	527	1558	0.9061433642357568
59	1069	2250	0.9044281108752844
60	927	2706	0.9044239643239572
61	227	910	0.903326897558
62	1811	1903	0.9028660233318536
63	1785	2432	0.9027957034467186
64	665	940	0.902637057183694
65	2780	2792	0.9025457471323676
66	665	1096	0.9019571360680964
67	578	2908	0.9019472184813708
68	527	933	0.9015782456906388
69	1112	1558	0.901510229540137
70	1353	2286	0.9005746628947857
71	2092	2093	0.9004825771079434
72	1744	1803	0.9004528831006751
73	1493	2403	0.8999048838822206
74	933	1007	0.89982437629064
75	954	961	0.8993444286595381
76	276	1126	0.8993203155201474
77	375	933	0.8991311277350394
78	936	961	0.8983536928422352
79	954	2690	0.8981686381939389
80	1112	2742	0.8972546995462954
81	940	1558	0.8970961105537119
82	1582	2908	0.8963693868337042
83	517	665	0.8962051216696153
84	936	1558	0.8961999355911567
