	Source	Target	Weight
0	687	836	1.0
1	687	1177	1.0
2	687	1185	1.0
3	687	1184	1.0
4	687	1183	1.0
5	687	1182	1.0
6	687	1181	1.0
7	89	687	1.0
8	687	1180	1.0
9	687	1179	1.0
10	687	1178	1.0
11	687	1176	1.0
12	687	1166	1.0
13	687	1175	1.0
14	687	1174	1.0
15	687	1173	1.0
16	307	687	1.0
17	687	1172	1.0
18	687	1171	1.0
19	687	1170	1.0
20	687	1169	1.0
21	687	1168	1.0
22	687	1186	1.0
23	687	1187	1.0
24	687	1188	1.0
25	687	1189	1.0
26	687	1205	1.0
27	687	1204	1.0
28	687	1203	1.0
29	687	1202	1.0
30	687	1201	1.0
31	8	687	1.0
32	687	1200	1.0
33	687	1199	1.0
34	687	1198	1.0
35	687	1197	1.0
36	687	1196	1.0
37	305	687	1.0
38	687	1195	1.0
39	687	1194	1.0
40	306	687	1.0
41	687	1193	1.0
42	687	1192	1.0
43	687	1191	1.0
44	687	1190	1.0
45	687	1167	1.0
46	687	1165	1.0
47	687	947	1.0
48	687	1136	1.0
49	309	687	1.0
50	687	1143	1.0
51	687	1142	1.0
52	687	1141	1.0
53	687	1140	1.0
54	687	1139	1.0
55	310	687	1.0
56	687	1138	1.0
57	687	1137	1.0
58	9	687	1.0
59	687	1164	1.0
60	687	1135	1.0
61	687	1134	1.0
62	687	1133	1.0
63	687	1132	1.0
64	687	1131	1.0
65	687	1130	1.0
66	687	1129	1.0
67	687	1128	1.0
68	687	1127	1.0
69	687	1144	1.0
70	308	687	1.0
71	687	1145	1.0
72	687	1146	1.0
73	687	1163	1.0
74	687	1162	1.0
75	687	1161	1.0
76	687	1160	1.0
77	687	1159	1.0
78	687	1158	1.0
79	687	1157	1.0
80	687	1156	1.0
81	687	1155	1.0
82	687	1154	1.0
83	687	1153	1.0
84	687	1152	1.0
85	196	687	1.0
86	687	1151	1.0
87	50	687	1.0
88	687	1150	1.0
89	687	1149	1.0
90	687	1148	1.0
91	687	1147	1.0
92	687	1206	1.0
93	687	1207	1.0
94	687	1208	1.0
95	687	1261	1.0
96	687	1269	1.0
97	687	1268	1.0
98	687	1267	1.0
99	687	1266	1.0
100	687	1265	1.0
101	687	1264	1.0
