Source	Target	Weight
604	1361	1.0
1170	1171	0.9994110469796792
1162	1509	0.9974256659600323
323	1061	0.995349546295134
2092	2093	0.9952699815529726
1112	2690	0.9952675406891314
218	984	0.9945258728898658
1103	1509	0.99444152496215
316	1869	0.9943913540127456
238	827	0.993352279598154
1103	1162	0.9929267740795598
555	640	0.9927832604052724
1832	1833	0.99273431459764
1153	1155	0.9923024673337046
903	1528	0.992058766733864
302	954	0.991125803945808
1808	1836	0.9908700416088346
445	2736	0.99059804867255
1277	1464	0.9905593241256128
1448	1466	0.9901735392603104
517	528	0.9900456869936296
1103	1189	0.9899725095704154
1547	1675	0.9893359944357756
75	150	0.9891973074639744
242	1353	0.9889434788222772
1277	1462	0.9887941493354884
1448	1910	0.988523382602363
323	2714	0.9884124427105634
812	1749	0.9883877579789024
850	852	0.988068683130304
492	493	0.9880268203788354
984	1454	0.9879851879141196
2284	2312	0.9879672389386382
1462	1464	0.9879377089074196
537	940	0.987851682647197
1209	1623	0.9877496521985296
939	961	0.9877375398393412
198	1189	0.987725627980706
2342	2523	0.9876388773767272
1466	1910	0.9875781240545172
847	1558	0.9872401566764268
1936	1962	0.9870736928418604
802	1804	0.9869926355317268
1538	1540	0.986933759678454
411	2482	0.9868810284758136
1325	2629	0.9868142804017512
947	1872	0.9867846012857256
1061	2714	0.9867630860205372
933	2742	0.9863760178768796
1852	2690	0.9863514263342598
218	1454	0.9863445697278808
1534	2300	0.986327566970712
272	2209	0.986299199438972
743	2030	0.9862510693858384
472	688	0.986250388908482
665	2690	0.9861972519951552
302	936	0.986176062239821
1061	1315	0.9861452923829366
1353	2300	0.9861110566446344
75	2742	0.9861034369583932
324	375	0.9860626212472522
1009	2922	0.9859386437151691
130	140	0.9858816657843106
1112	1558	0.9858605565009032
896	2417	0.9858392675890818
1558	2742	0.9858046070173836
418	1598	0.985760527538546
2215	2216	0.9857249212859908
715	2779	0.9856962617420532
1465	1467	0.9856506068775344
1443	2742	0.9856255210109052
198	1831	0.9856147032162582
967	2102	0.9854353732965254
1112	2742	0.9854052099135816
266	936	0.9853447270019604
232	2284	0.9852250798237976
2016	2078	0.9851036949998122
1551	1692	0.9850608719336312
884	1425	0.9849060381031663
897	1987	0.9847209008713332
665	2742	0.9846879772228754
527	1096	0.9844727664185752
1315	2714	0.984182240872416
954	2479	0.9841403450477892
445	551	0.984132740243321
1807	1872	0.9840701459989056
83	482	0.9837966107789204
2133	2134	0.9837395484736504
2780	2792	0.9835796878089428
1189	1509	0.9835728949518188
1511	2878	0.9835088709286464
933	961	0.983483573245368
198	1103	0.983409537680908
266	302	0.9833411900537234
1455	1456	0.9832487057924558
181	2581	0.9831734172419496
169	995	0.983160704478844
884	967	0.9830626042177124
665	1558	0.983056713722794
321	2417	0.983009851164798
914	1789	0.9829210039967924
1685	1825	0.982895876228315
475	2145	0.982797195201146
1069	2250	0.9827584389043568
214	2475	0.9825662667506984
527	665	0.9825194194717994
995	1970	0.9823492061982042
527	2690	0.9822844392188704
232	2312	0.9822453386470142
967	1425	0.982232014940528
1112	1443	0.9821626120293993
242	1467	0.982120568287618
2052	2842	0.9820984712559264
903	2492	0.9820396584501888
1821	2779	0.9819635389665776
2155	2725	0.9818581740247008
1993	2657	0.9818142063743306
527	2742	0.9817920202414409
665	1112	0.9817810678805552
278	1426	0.981774251149816
2690	2742	0.9816191847990384
528	1752	0.9815886200539564
1744	1869	0.9815325110820542
1153	1409	0.9814928712861348
1312	1454	0.9814278781827084
551	2736	0.981388822480545
1274	1277	0.981377213154954
896	2300	0.981285989201862
2108	2821	0.9812790327073224
150	939	0.9812465513107792
936	2742	0.9812366596144584
1558	2690	0.9811920748979964
527	1409	0.981189648639238
150	1558	0.9811624974763028
1415	1509	0.98103556146717
2093	2108	0.9810310219764332
302	1683	0.9810072773251688
232	1795	0.9809972378738914
75	1558	0.9809886593636692
1189	1831	0.9808935189512882
83	1325	0.9808629550177288
1223	1324	0.9808095132709715
802	1821	0.9807438151059762
527	1852	0.9806860927861004
1078	2529	0.9806676308211402
933	1833	0.9806072320174118
612	708	0.9805353121219812
943	2092	0.980439229705106
302	2286	0.9804298225684293
316	1744	0.9804024992464248
1353	1467	0.980352818372002
2092	2108	0.980279330725043
302	1112	0.9802527251030456
621	914	0.9802313572211636
1803	1808	0.9802115458741746
1096	1852	0.980184416156784
232	587	0.9801316093734584
665	1852	0.9801261868369834
1977	2747	0.9800783447081982
2631	2796	0.9800740043767654
495	743	0.9800464053687444
943	2093	0.979998874616056
537	1558	0.9799637874199902
1233	2574	0.979963640772284
896	1449	0.9799566785070074
2108	2795	0.979940333451806
1666	2178	0.97992934405251
75	527	0.979922434822508
947	1691	0.9798859573473392
2286	2300	0.9798560983198884
109	1440	0.9797968799753513
224	404	0.9797651887023586
2133	2138	0.979702147150036
419	2479	0.9796715142175906
323	1449	0.9796573472613817
878	2795	0.9796441362899274
100	2706	0.9796367675374712
527	1558	0.9796288218174224
1155	1409	0.9796215876153744
896	1467	0.979576211718565
802	1954	0.9795715750875632
198	337	0.9795709101499174
943	1315	0.9795240039362598
2312	2690	0.9795157405516932
933	1007	0.9794938165390804
954	1112	0.979473251350097
936	1112	0.9794607788929672
497	1645	0.9793959308557784
1061	2093	0.9792601328909016
1112	2479	0.9792389564959532
812	1620	0.979220138641958
1077	1462	0.9792089973835
1493	2145	0.9792050660583808
1112	1852	0.979161374891854
1017	1486	0.97906543460839
440	696	0.9790261721549448
936	1187	0.979015820411223
1993	2706	0.9789647752112312
763	1692	0.97890453846666
79	1061	0.978884077028833
238	1832	0.9788255080927192
936	954	0.9788110176909364
954	1683	0.9788106985995269
1516	1723	0.978784037673812
407	1491	0.9787738216471314
1346	2734	0.9787669409342544
889	2030	0.9786667175453968
1112	1130	0.9785649918207668
75	1112	0.9785416384442036
538	2093	0.978455270681222
1959	2523	0.9784347980253582
302	2742	0.9784280542685554
419	954	0.9784133397707516
848	1921	0.9784061335310388
768	2795	0.978374542853065
2108	2300	0.9782782410970512
1302	1467	0.9782336469389028
947	1807	0.978208866379044
804	827	0.9781866560451404
1405	1784	0.9781088996897184
896	1353	0.9780550715350724
995	2300	0.977860071451882
1061	1449	0.9778554770173792
1027	1464	0.9778031849444058
1096	2742	0.9777885525379568
375	1112	0.9777833669443556
316	1360	0.9777567639416423
995	2347	0.9776353978989876
1380	2314	0.9775396576758876
1027	1277	0.9774942601428924
302	2479	0.9774587668657734
804	1860	0.9774193483871492
1096	1443	0.9774095703115474
1324	1639	0.9774076393393828
375	1558	0.9773784127776852
14	984	0.97726246027533
302	375	0.9772463080724736
1652	2107	0.9772159219692056
