	Source	Target	Weight
0	604	1361	1.0
1	1170	1171	0.9983879652292242
2	472	688	0.9979676108707656
3	385	2859	0.9928762013900594
4	1538	1540	0.992278446033524
5	2175	2238	0.9921644184550166
6	492	493	0.9909971317588504
7	2583	2912	0.987560783669445
8	2464	2535	0.986171622660414
9	1886	2503	0.9848036963846192
10	504	1312	0.9842144733643148
11	742	2928	0.9837439679876548
12	83	162	0.983343003606177
13	578	2908	0.9825082820376106
14	377	2374	0.9813942812319532
15	555	640	0.9803564445885944
16	2215	2216	0.977927759378996
17	130	140	0.9775369475522564
18	150	1498	0.977455044882171
19	1218	2259	0.97709607676947
20	159	884	0.9768825621280712
21	323	943	0.9757499156569835
22	589	2704	0.9757134887089066
23	1472	2464	0.9754449707516564
24	270	2328	0.9754224391201513
25	162	1886	0.9753699227322644
26	1138	2195	0.9753047210997364
27	2535	2742	0.9750019001009934
28	1787	1954	0.9749857226900934
29	2575	2751	0.9746391696377004
30	1012	2259	0.97422546808595
31	745	2602	0.9739807794959592
32	162	2503	0.9735450418384258
33	431	2259	0.9734883297926524
34	1218	1486	0.973486400353046
35	990	1046	0.9732582037117132
36	1065	1068	0.9729261761721988
37	83	1886	0.9728268731762822
38	882	1738	0.9724350902172356
39	463	1537	0.9722853949733536
40	452	1046	0.9722268457608502
41	1218	2288	0.9716576810072116
42	184	957	0.9712756385490764
43	401	1050	0.9709957374353404
44	1778	2303	0.9708867632626056
45	407	2333	0.9708363139320728
46	607	1046	0.9706789274879696
47	517	1188	0.9704961193056644
48	308	309	0.9702025056187236
49	302	376	0.9700926993568784
50	83	2503	0.9696185175348548
51	184	567	0.9696155862839994
52	159	2157	0.9694777544748204
53	1086	1537	0.96878165685852
54	278	1426	0.968499207360238
55	1046	1537	0.9682248494847168
56	1017	2353	0.9679523866036857
57	567	2288	0.9675445523571304
58	2175	2330	0.9671804735461368
59	954	1096	0.966858055103764
60	933	2464	0.966813038293573
61	270	1100	0.9666733208075416
62	452	2259	0.9665253369856984
63	398	1426	0.9665136437956854
64	620	2588	0.9663531717604156
65	184	407	0.9663246775770342
66	382	2828	0.965832954697994
67	665	1852	0.9657285933421458
68	620	2872	0.9654378189531552
69	150	2535	0.965302845368446
70	419	449	0.9649887900367397
71	2238	2330	0.9646140227138243
72	1046	2704	0.9646119233591866
73	407	2259	0.9644960731091136
74	2404	2725	0.964471617590354
75	1812	2625	0.9641547053916252
76	957	2284	0.9641024200861614
77	364	1126	0.9640782487834773
78	1126	2584	0.9639220203954014
79	2057	2904	0.9637882482638492
80	2312	2725	0.9637763522300246
81	407	2034	0.9637697072106532
82	537	2464	0.9636890383220112
83	150	2464	0.9635508062895703
84	75	150	0.9634396324348332
85	184	504	0.9634105290927752
86	486	2931	0.9631840973557196
87	278	398	0.9630746339924304
88	990	1232	0.9629397972773672
89	181	1548	0.9626814124930624
90	452	990	0.9626425356398732
91	2314	2571	0.9623775129954416
92	57	2038	0.9623043916728788
93	150	2742	0.9622014694515564
94	376	1093	0.9621809523743318
95	407	452	0.9621781604057008
96	2503	2823	0.9621522965603054
97	567	2034	0.9619065810600348
98	431	2652	0.9618662117619492
99	2645	2927	0.9615560448566344
100	984	2588	0.9614595943331176
101	1046	2034	0.9613637425244618
102	2019	2728	0.961285614822056
103	1380	1569	0.961234187981159
104	1011	2169	0.9610686461734504
105	266	2333	0.9608914863442456
106	431	1218	0.9608896070083854
107	330	411	0.9606457189566372
108	1486	2259	0.9606320649206748
109	538	1864	0.9605884999029468
110	1022	1046	0.9605688259450452
111	463	1190	0.9605206033737635
112	270	2074	0.9604075597134896
113	1487	1547	0.9603208208822078
114	1278	1280	0.9603049702162388
115	328	2130	0.9601694556980278
116	947	1737	0.9600561002297976
117	575	2054	0.9600119796082304
118	983	1100	0.9599073483678806
119	1312	2142	0.959836363488432
120	276	364	0.9597295224638166
121	1582	2908	0.9597052890994971
122	537	2535	0.959619996171888
123	1316	1835	0.9596008434264292
124	1012	1218	0.9595780191672552
125	431	2288	0.9595039270173816
126	266	2404	0.959483196076112
127	2212	2757	0.958998489921935
128	75	1498	0.9589858737910746
129	791	935	0.95897961245737
130	504	2034	0.9589209707151614
131	266	2140	0.9588587664657447
132	957	1008	0.9587966651488132
133	2102	2312	0.9587850337566708
134	407	1100	0.9586607650527096
135	60	426	0.9585127972665544
136	504	2038	0.9584695890447614
137	391	2169	0.9583881837317568
138	2328	2626	0.957969434787378
139	883	1085	0.9578905794148024
140	363	367	0.9578011013207725
141	899	1852	0.9575916673916866
142	1269	1486	0.9575232224499586
143	452	1486	0.95750320777362
144	1403	2856	0.957319613249068
145	990	1537	0.9571988381973172
146	607	990	0.95719123260395
147	1046	2259	0.9570528092807464
148	1380	2928	0.9569386685503596
149	2259	2589	0.9569020574803366
150	1604	2905	0.9568585885535628
151	2353	2626	0.956807640757931
152	804	2340	0.9567674842450962
153	358	1852	0.9565904272299242
154	2038	2288	0.9565512137646528
155	578	2838	0.956547266005734
156	1218	2375	0.9565073689824226
157	933	1852	0.9564324073369468
158	2259	2626	0.9564203248639545
159	1486	2626	0.9564048880405738
160	880	2021	0.9563527003117692
161	601	1463	0.9563031040264984
162	2099	2239	0.9562948354350465
163	747	1085	0.9562194311707464
164	441	2667	0.9561545388312792
165	452	2034	0.9561249552556816
166	528	1188	0.9561007926743564
167	1637	2333	0.9559991652856582
168	270	1537	0.9559969047116798
169	150	537	0.9559098696499916
170	1474	1778	0.9558983282158732
171	302	2157	0.9558321887499222
172	1302	2404	0.9557807530292284
173	2588	2872	0.9556405767844234
