	Source	Target	Weight
0	604	1361	1.0
1	1170	1171	0.9999999999998022
2	1318	1767	0.9999999999982934
3	130	140	0.998889600413306
4	2215	2216	0.9952752402004986
5	472	688	0.9949841141072197
6	1538	1540	0.9946671262947998
7	2284	2312	0.9933179811756035
8	1128	1270	0.986361070147332
9	1278	1280	0.984872883632696
10	1501	2581	0.9844913526247724
11	527	933	0.9831687747317108
12	825	2668	0.983040988237219
13	685	1096	0.9830291006074712
14	1112	2690	0.9821289808123692
15	1096	2742	0.9819904376836316
16	1274	1275	0.981548993217426
17	1348	1357	0.9815014729309882
18	1619	2481	0.9814077490209994
19	403	1984	0.9798372426545846
20	308	309	0.9798062282829542
21	284	2324	0.9787267732300442
22	2736	2737	0.9787188885569648
23	53	1431	0.978612728423522
24	492	493	0.9785409922272684
25	1462	1465	0.9783801460933356
26	894	1929	0.9782934248898764
27	184	2038	0.978111000940562
28	375	961	0.9773547540368482
29	1096	1112	0.9773320587991746
30	785	1370	0.9772423093322924
31	2102	2690	0.9769978957143716
32	1889	2478	0.9767870848326438
33	940	961	0.976688619274802
34	541	973	0.97632949442641
35	1427	1551	0.9761611651928088
36	936	1645	0.9759501962825688
37	1446	2080	0.9759057056646404
38	567	2804	0.9752876391488724
39	66	288	0.9752342728933808
40	1832	1833	0.974989153531024
41	472	2236	0.9745549511326188
42	933	1558	0.974148290055396
43	1112	2102	0.9740453922172014
44	936	954	0.9736875722537872
45	497	2690	0.972887264403047
46	1112	2742	0.9727665723892612
47	527	1558	0.9727558586999404
48	1096	2690	0.9726205426290307
49	665	1645	0.9724802401495668
50	124	1112	0.9724485606251704
51	527	936	0.9721273240873004
52	665	933	0.9720006207825124
53	527	665	0.971884775386642
54	501	2252	-0.9717249796515895
55	395	985	0.971719106361388
56	331	2276	0.971698004563575
57	2157	2539	0.9715606444541386
58	936	1431	0.9715523807097614
59	665	936	0.9713440482320688
60	1785	2432	0.9712174465552535
61	665	1431	0.9711426069902724
62	256	541	0.9705803306326628
63	170	2295	0.970278948814742
64	709	2298	0.970136736218667
65	1320	1645	0.9697776505720104
66	221	2013	0.9696641210134204
67	124	2102	0.9696213660622678
68	497	2312	0.9692876969651
69	124	2690	0.9690647189424793
70	53	2690	0.9690042387429731
71	685	1112	0.9687995968733468
72	1529	1661	0.9686045087920966
73	126	2298	0.9685919578860248
74	220	723	0.9685441872712408
75	1153	1155	0.9685047156651526
76	375	933	0.967899651921747
77	215	1648	0.9678885468248544
78	1096	2312	0.9678138934188578
79	1270	2123	0.9674891435500076
80	933	1431	0.9672831945865652
81	262	2255	0.9671456288796064
82	1303	1458	0.9670736695228918
83	933	936	0.9670698814666048
84	765	2312	0.9670287418652416
85	685	1092	0.966696385100685
86	582	1990	0.96656493101774
87	53	2478	0.9664993079474132
88	1270	2690	0.966410240568268
89	392	2464	0.9664022903591988
90	407	2845	0.9663699490694848
91	420	2179	0.9663308066485594
92	53	1096	0.9662331158103916
93	53	1112	0.9662150062141992
94	304	2357	0.9662055155803086
95	1578	1666	0.9661493032618714
96	685	2690	0.9660834040882114
97	256	2236	0.9659995410905928
98	2690	2742	0.96584531598143
99	2312	2690	0.9657253903115304
100	735	2442	0.9657217724700644
101	497	2284	0.9656649290380244
102	879	1282	0.965612917855021
103	2495	2928	0.9655250139525045
104	1128	2123	0.9650615190032052
105	1131	2495	0.9650262434191758
106	540	2768	0.9649312077452676
107	2312	2464	0.964881954459595
108	866	1931	0.9647728670250274
109	2157	2617	0.96462775219178
110	278	1426	0.96455196165555
111	853	2463	0.9645130901201392
112	66	2299	0.9644956484054787
113	890	1987	0.9644524151074134
114	1774	2234	0.9644339416222232
115	1015	1130	0.9644131498316548
116	1092	2080	0.9643633812942016
117	771	1295	0.9642765131742492
118	665	1112	0.9640937071698186
119	1096	2284	0.9640920774608788
120	1453	1591	0.9639845892429352
121	592	771	0.9639816046063232
122	2252	2462	-0.9639637415799802
123	541	2319	0.963953371337528
124	1280	2080	0.9639041074651996
125	760	2544	0.963897988328057
126	119	2565	0.9637560478125242
127	1112	2184	0.9637133808508044
128	1782	2816	0.9635296110350884
129	933	954	0.9633185809309114
130	342	1322	0.9632701843439808
131	184	504	0.963252502298845
132	2648	2690	0.963231831652464
133	817	2829	0.9631499114339614
134	1112	1431	0.9628481093142256
135	513	1438	0.9628414648077874
136	488	2875	0.9627990223253436
137	472	1112	0.9626324306204688
138	53	936	0.9624855821082458
139	2478	2690	0.9623944824150438
140	426	1666	0.9623410259872022
141	1292	1295	0.9621495269384986
142	2539	2582	0.9621455908051731
143	375	1558	0.9620851158024696
144	588	1420	0.961888877092953
145	1155	1558	0.9618476023814504
146	1153	1159	0.9617248001404912
147	741	1846	0.9615512197585928
148	1092	1236	0.9614508302433664
149	124	884	0.9613978980475352
150	53	1889	0.9612289132302806
151	1270	2648	0.961091565571154
152	765	2284	0.9609296700224668
153	685	1431	0.9609122563943768
154	2106	2108	0.9608114687059468
155	2405	2617	0.9606360120357916
156	1288	1953	0.9605282937086416
157	566	586	0.9605221931983772
158	1096	1431	0.9601884952388656
159	53	665	0.9601555358231258
160	159	1497	0.9600971255604888
161	1196	2930	0.9600120595767592
162	393	2462	0.9599807272786448
163	181	235	0.959954108203968
164	46	2687	0.95993349876885
165	665	1155	0.9599242508781768
166	1753	2464	0.9598959878153068
167	533	1551	0.9598909079068252
168	393	1118	0.9598538820842016
169	688	2236	0.959756433489456
170	665	1096	0.959687493587802
171	507	2863	0.9596066817096246
172	705	1265	0.9595698763355018
173	105	2307	0.9595521350012202
174	665	954	0.959392532583342
175	1278	2080	0.9593666121020588
176	72	847	0.95935838058798
177	1108	1889	0.959293706632131
178	185	497	0.9591919007362502
179	1800	1899	0.9590333277133478
180	497	2464	0.9589784049643502
181	2563	2672	0.9589673316487431
182	527	1431	0.9589557042363608
183	1669	2754	0.958947107263144
184	288	1511	0.9589398083653212
185	1112	2157	0.9587593724436728
186	688	1112	0.958638272130664
187	53	1278	0.9586124493082756
188	53	2742	0.9584789670227872
189	2013	2398	0.9584047929451032
190	2778	2915	0.9583654854697624
191	2114	2306	0.9583635431040614
192	910	1617	0.9582450346548782
193	989	1658	0.9582315073067954
194	18	1840	0.958199183471754
195	925	1483	0.9580189828756558
196	665	1558	0.9579985680251496
197	763	1652	0.9579781158766444
198	75	150	0.9576056804024692
199	752	1833	0.9575812172304572
200	927	2706	0.957408591202741
201	655	2702	0.9573712986177012
202	1355	2577	0.9573540599851196
203	2495	2703	0.957316395037811
204	901	1046	0.9572920057721476
205	126	235	0.9571929983321126
206	1165	2163	0.9571888496489906
207	954	1431	0.957085377072178
208	17	2157	0.957053440163299
209	796	2372	0.9570119354195468
210	1112	2478	0.9569874821828122
211	760	1287	0.9569781294183024
212	685	2742	0.9568577455511142
213	933	1645	0.9567980122863848
214	790	1435	0.9566970445469
215	2095	2307	0.9566418225528088
216	2563	2670	0.9565166062143456
217	97	669	0.9564884257696904
218	116	2539	0.9564269593947068
219	53	1280	0.9563544472808956
220	1130	2300	0.9563446689449864
221	2157	2582	0.956328844904704
222	494	2347	0.9562890006333472
223	1194	2102	0.956199205235508
224	124	2742	0.9561960584195608
225	665	685	0.9561887215564326
226	708	2825	0.9561349115788184
227	1511	2741	0.956120646027497
228	1427	1778	0.9560963502166212
229	2184	2236	0.9559010571971304
230	1889	2742	0.9558798244849764
231	1113	1278	0.9558625049299572
232	735	2102	0.9558243537382
233	820	2735	0.9558114351734815
234	36	2350	0.955762221939952
235	1868	2195	0.9557349342487428
236	407	2089	0.9557328333873332
237	527	685	0.9557031043345872
238	1039	2260	0.9556920452677924
239	328	709	0.9556590607990568
240	765	1253	0.955649755913936
241	1784	2780	0.9556461559673372
242	195	264	0.9555547496279444
243	2190	2513	0.955479967613583
244	488	1123	0.955380366555042
245	1789	2542	0.955134492845965
246	1112	2236	0.9551246185680512
247	1733	1968	0.9551156135092916
248	936	2306	0.9549788400084736
249	203	2592	0.9549460324139656
250	53	2306	0.9548462513741984
251	372	2813	0.9548077550072968
252	452	1591	0.9547122680446792
253	1274	1277	0.9547119321704935
254	392	1270	0.9546794059915414
255	1431	2306	0.954650776463206
256	53	2298	0.9546063026655988
257	1404	2346	0.954546688860862
258	935	2296	0.954530730037524
259	2284	2464	0.95452387846953
260	481	873	0.9544627928126764
261	392	2306	0.9544077084263388
262	2284	2690	0.9543872859916656
263	2114	2742	0.9543408273228298
264	159	791	0.9543207406095604
265	1868	2439	0.954281550918492
266	865	2307	0.954273442228052
267	1443	1889	0.9542628221464532
268	936	1112	0.9542454553539236
269	527	954	0.9542185662604706
270	270	283	0.9541640416748666
271	504	567	0.9541508791152592
272	1246	2747	0.9540730020015552
273	2236	2926	0.9539972478938276
274	1370	2101	0.9539383045921956
275	1400	2090	0.953907616950937
276	1147	2597	0.9538610214722052
277	2864	2910	0.9537881858615108
278	1141	1714	0.9537547950020544
279	935	1346	0.953730194020591
280	1402	2626	0.9536627738948168
281	738	2165	0.9536593911528168
282	1098	2498	0.9536487470697408
283	612	2691	0.9536149163257238
284	1112	1889	0.9535122906073344
285	735	2157	0.9534799261720492
286	53	685	0.9534725040439443
287	1160	2262	0.9534472344910802
288	436	2900	0.9534209130935732
289	1683	2754	0.953394969099078
290	2689	2903	0.953355734515622
291	2284	2742	0.9532115990148516
292	1431	2690	0.9531828834559108
293	705	1778	0.9531622276005652
294	1501	2284	0.9530214274270692
295	735	1112	0.9529212874946192
296	100	1945	0.9529069804223398
297	452	1453	0.9528741505071618
298	185	1096	0.9528654077050894
299	425	1680	0.9528101291815044
300	154	2039	0.9528059801544174
301	485	2102	0.952662673286792
302	2495	2581	0.9526167653506644
303	516	1112	0.9524512176960545
304	436	2768	0.9522851030427903
305	1993	2442	0.9521861366113769
306	1092	1280	0.9521789438949776
307	996	2578	0.9521649715784885
308	1092	2648	0.9521629022533074
309	1462	2286	0.9521618961329796
310	443	1282	0.9521195562473602
311	1685	1794	0.952075235669696
312	2236	2690	0.9520214318664784
313	101	1270	0.9520127568769016
314	769	1868	0.9519790024782728
315	2655	2718	0.9519677877424328
316	1270	2306	0.9519670548376992
317	1171	2718	0.9518876740042874
318	1170	2718	0.9518876673253124
319	1015	1292	0.9518454990017658
320	527	2369	0.951816396466688
321	868	1173	0.9517892882121044
322	540	2578	0.9517412671347216
323	2306	2742	0.951702713940426
324	1565	1879	0.9516857721936448
325	1128	1548	0.9516809122668296
326	1096	2207	0.9515927223053056
327	89	671	0.9515739183412704
328	527	1645	0.9515032108179702
329	961	1558	0.9514615329570966
330	1153	1558	0.9514488863017428
331	2150	2165	0.951436745617725
332	1473	2054	0.9514221994180738
333	375	527	0.9514158699762768
334	933	2369	0.9514079554466044
335	954	1558	0.9513840098825188
336	1443	2293	0.9513691235065952
337	714	1707	0.9513259824777646
338	235	2298	0.9512243629385596
339	1782	1929	0.9512170821417386
340	1112	2306	0.9512116216523614
341	1753	2298	0.9512073703890233
342	634	2863	0.9511947950536584
343	1501	2312	0.9511752625901404
344	497	765	0.9511658740982328
345	2298	2464	0.9510903173701012
346	890	2145	0.9510525124021172
347	1207	2497	0.9510456006740576
348	1363	1693	0.9510418753913724
349	1534	2529	0.9510365689970318
350	612	2825	0.9509710949680292
351	98	2206	0.950958774573102
352	1320	2369	0.9509356602066068
353	1007	1155	0.9509057882981626
354	571	2590	0.9508909473485684
355	1548	2645	0.950848421968486
356	817	2195	0.9507142393974348
357	1026	2396	0.9507009027480424
358	101	2833	0.95070052856358
359	1846	2744	0.9505635139331042
360	94	448	0.9504698906370268
361	74	1303	0.950453759791194
362	218	2482	0.95043598575082
363	425	1218	0.950412881304641
364	1118	2462	0.9504049419190524
365	1304	2654	0.9503353558253383
366	714	2804	0.9503320611939896
367	1701	1988	0.950322221728592
368	933	1155	0.9503047229778614
369	1280	2478	0.9502936465911032
370	472	2690	0.9502595998365032
371	2236	2648	0.9502531763992516
372	124	472	0.9502073833039434
373	1432	2590	0.950203709828046
374	2512	2907	0.9501667003241844
