"ID	label	sector"
"177	AROW	Banks"
"178	ARR	MortgageRealEstateInvestmentTrust"
"179	ARTNA	WaterUtilities"
"180	ARTW	Machinery"
"181	ARW	ElectronicEquipmentInstrumentsC"
"182	ARWR	Biotechnology"
"183	ASA	CapitalMarkets"
"184	ASB	Banks"
"185	ASG	ETF"
"186	ASGN	ProfessionalServices"
"187	ASH	Chemicals"
"188	ASM	MetalsMining"
"189	ASML	SemiconductorsSemiconductorEquipment"
"190	ASPS	RealEstateManagementDevelopment"
"191	ASR	TransportationInfrastructure"
"192	ASRT	Pharmaceuticals"
"193	ASRV	Banks"
"194	ASTC	AerospaceDefense"
"195	ASTE	Machinery"
"196	ASUR	Software"
"197	ASX	SemiconductorsSemiconductorEquipment"
"198	ASXC	MedicalDevices"
"199	ASYS	SemiconductorsSemiconductorEquipment"
"200	ATAX	ThriftsMortgageFinance"
"201	ATCO	Marine"
"202	ATEC	HealthCareEquipmentSupplies"
"203	ATGE	DiversifiedConsumerServices"
"204	ATHE	Biotechnology"
"205	ATHX	Biotechnology"
"206	ATI	MetalsMining"
"207	ATLC	ConsumerFinance"
"208	ATLO	Banks"
"209	ATNI	DiversifiedTelecommunicationServices"
"210	ATO	GasUtilities"
"211	ATR	ContainersPackaging"
"212	ATRC	HealthCareEquipmentSupplies"
"213	ATRI	HealthCareEquipmentSupplies"
"214	ATRO	AerospaceDefense"
"215	ATSG	AirFreightLogistics"
"216	ATVI	Entertainment"
"217	AU	MetalsMining"
"218	AUB	Banks"
"219	AUBN	Banks"
"220	AUD	Media"
"221	AUDC	CommunicationsEquipment"
"222	AUMN	MetalsMining"
"223	AUTO	SpecialtyRetail"
"224	AUY	MetalsMining"
"225	AVA	MultiUtilities"
"226	AVAV	AerospaceDefense"
"227	AVB	EquityRealEstateInvestmentTrusts"
"228	AVD	Chemicals"
"229	AVDL	Pharmaceuticals"
"230	AVGO	SemiconductorsSemiconductorEquipment"
"231	AVID	TechnologyHardwareStoragePeriph"
"232	AVK	ETF"
"233	AVNT	Chemicals"
"234	AVNW	CommunicationsEquipment"
"235	AVT	ElectronicEquipmentInstrumentsC"
"236	AVXL	Biotechnology"
"237	AVY	ContainersPackaging"
"238	AWF	ETF"
"239	AWH	HealthCareEquipmentSupplies"
"240	AWI	BuildingProducts"
"241	AWK	WaterUtilities"
